Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shenyang,PM2.5,1/5/2017 1:00,2017,1,5,1,67,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 2:00,2017,1,5,2,63,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 3:00,2017,1,5,3,85,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 4:00,2017,1,5,4,76,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 5:00,2017,1,5,5,69,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 6:00,2017,1,5,6,53,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 7:00,2017,1,5,7,51,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 8:00,2017,1,5,8,66,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 9:00,2017,1,5,9,76,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 10:00,2017,1,5,10,72,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 11:00,2017,1,5,11,69,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 12:00,2017,1,5,12,80,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 13:00,2017,1,5,13,99,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 14:00,2017,1,5,14,72,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 15:00,2017,1,5,15,73,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 16:00,2017,1,5,16,62,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 17:00,2017,1,5,17,59,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 18:00,2017,1,5,18,71,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 19:00,2017,1,5,19,92,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 20:00,2017,1,5,20,108,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 21:00,2017,1,5,21,135,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 22:00,2017,1,5,22,100,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 23:00,2017,1,5,23,130,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 0:00,2017,1,6,0,145,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 1:00,2017,1,6,1,163,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 2:00,2017,1,6,2,129,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 3:00,2017,1,6,3,138,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 4:00,2017,1,6,4,125,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 5:00,2017,1,6,5,130,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 6:00,2017,1,6,6,129,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 7:00,2017,1,6,7,171,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 8:00,2017,1,6,8,148,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 9:00,2017,1,6,9,153,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 10:00,2017,1,6,10,160,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 11:00,2017,1,6,11,175,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 12:00,2017,1,6,12,127,?g/m?,1 Hr,Valid
